Mnemonic      Mnemonic description
NAFTA2A  AMERICA BENEFITS FROM BEING A MEMBER OF NAFTA?
NAFTA3   AMERICA SHOULD FOLLOW NAFTA DECISION
SHORTCOM WORLD BETTER IF AMERICA ACKNOWLEDGED SHORTCOMINGS
IMMCULT  IMMIGRANTS UNDERMINE AMERICAN CULTURE
IMMEDUC  LEGAL IMMIGRANTS SHOULD HAVE SAME EDUCATION AS AMERICANS
LETIN1A  NUMBER OF IMMIGRANTS NOWADAYS SHOULD BE
IMMASSIM WHAT STATEMENT ABOUT IMMIGRANTS MATCHES VIEW
PATRIOT1 PATRIOTIC FEELINGS STRENGTHEN AMERICA'S PLACE IN WORLD
PATRIOT2 PATRIOTIC FEELINGS LEAD TO INTOLERANCE IN AMERICA
PATRIOT3 PATRIOTIC FEELINGS ARE NEEDED FOR AMERICA TO REMAIN UNITED
PATRIOT4 PATRIOTIC FEELINGS LEAD TO NEGATIVE FEELINGS TOWARDS IMMIGRANTS
VOTEELEC HOW IMPORTANT ALWAYS TO VOTE IN ELECTIONS
PAYTAXES HOW IMPORTANT NEVER TO TRY TO EVADE TAXES
OBEYLAWS HOW IMPORTANT ALWAYS TO OBEY LAWS
WATCHGOV HOW IMPORTANT TO KEEP WATCH ON ACTION OF GOVT
ACTASSOC HOW IMPORTANT TO BE ACTIVE ON SOC OR POL ASSOCIATION
OTHREASN HOW IMPORTANT TO TRY TO UNDR'STND REASONING OF OTHR O
BUYPOL   HOW IMPORTANT TO CHOOSE PRODUCTS FOR POL REASONS
HELPUSA  HOW IMPORTANT TO HELP WORSE OFF PPL IN AMERICA
HELPWRLD HOW IMPORTANT TO HELP WORSE OFF PPL IN REST OF WORLD
MILSERVE HOW IMPORTANT TO SERVE IN MILITARY WHEN NEEDED
RELMEET  ALLOWED TO HOLD PUB MEETING FOR RELIGIOUS EXTREMIST
REVMEET  ALLOWED TO HOLD PUB MEETING FOR PPL WHO WANT OVERTHROW
RACMEET  ALLOWED TO HOLD PUB MEETING FOR RACIST
SIGNDPET SIGNED A PETITION
AVOIDBUY BOYCOTTED PRODUCTS FOR POL REASONS
JOINDEM  TOOK PART IN A DEMONSTRATION
ATTRALLY ATTENDED A POLITICAL MEETING OR RALLY
CNTCTGOV CONTACTED POLITICIAN OR CIVIL SERVANT TO EXPRESS VIEW
POLFUNDS DONATED MONEY OR RAISED FUNDS FOR SOC OR POL ACTIVITY
USEMEDIA CONTACTED IN THE MEDIA TO EXPRESS VIEW
INTERPOL JOINED AN INTERNET POLITICAL FORUM
GRPPARTY R BELONGS TO A POLITICAL PARTY
GRPWORK  R BELONGS TO A TRADE UNION OR PROFESSIONAL ASSOCIATION
GRPRELIG R BELONGS TO A CHURCH OR OTHR RELIGIOUS ORGANIZATION
GRPSPRTS R BELONGS TO A SPORTS, LEISURE, OR CULTURAL GRP
GRPOTHER R BELONGS TO ANOTHER VOLUNTARY ASSOCIATION
SOLOK    HOW IMPORTANT: CITIZENS HAVE ADEQUATE STANDARD OF LIVING
RGHTSMIN HOW IMPORTANT: GOVT PROTECT RIGHT OF MINORITIES
EQTREAT  HOW IMPORTANT: GOVT TREAT EVERYBODY EQUALLY
CITVIEWS HOW IMPORTANT: POLITICIAN CONSIDER VIEWS OF CITIZEN
POLOPTS  HOW IMPORTANT: PPL GIVEN CHANCE TO PARTICIPATE IN DECSNS
OPPSEGOV HOW IMPORTANT: CITIZEN ENGAGE IN ACTS OF CIVIL DISOBEYED
POLEFF18 GOVT DO NOT CARE MUCH WHAT PPL LIKE R THINK
POLEFF19 R HAVE A GOOD UNDERSTANDING OF POL ISSUES
POLEFF20 MOST PPL ARE BETTER INFORMED ABOUT POLITICS THAN R IS
                                        Page 105                      Index
ACTLAW   HOW LIKELY R TO DO SOMETHING IF UNJUST LAW BEING CONS
AFFCTLAW HOW LIKELY CONGRESS GIVE SERIOUS ATTENTION TO R'S DEMANDS
POLINT1  HOW INTERESTED IN POLITICS
GOVDOOK  WE CAN TRUST PEOPLE IN GOVT
POLGREED MOST POLITICIANS ARE ONLY FOR WHAT GET OUT OF POLITICS
DISCPOL  HOW OFTEN R DISCUSS POLITICS
CHNGEOTH HOW OFTEN R TRY TO PERSUADE OTHER TO SHARE VIEWS
POWERUN  HOW MUCH POWER R THINK UNITED NATIONS HAVE
GOVNGOS  DECISION LEFT TO NATL GOVT REPRESENTATIVE OR CITIZEN OR
UNRGHTS  UN SHOULD INTERVENE IF HUMAN RIGHT IS SERIOUSLY VIOLA
POLACTVE POL PARTY ENCOURAGE PPL TO BE ACTIVE IN POLITICS IN AM
CHOICES  POLITICAL PARTIES DON'T GIVE REAL POLICY CHOICES
REFRNDMS REFERENDUM ARE GOOD WAY TO DECIDE IMPORTANT POL QUEST
ELECVOTE HOW HONEST LAST NATL ELECTION: COUNTING OF VOTES
ELECFAIR HOW FAIR LAST NATL ELECTION: OPPRTUNITIES OF CANDIDATE
SERVEPEO HOW COMMITTED GOVT ADMNSTRATORS ARE TO SERVE PEOPLE
FIXMISTK HOW LIKELY GOVT ADMNSTRTOR'S BE CORRECTED WHEN MAKING
CORRUPTN HOW WIDESPREAD CORRUPTION IS IN PUB SERVICE IN AMERICA
DEMTODAY HOW WELL DEMOCRACY WORK IN AMERICA
DEM10PST HOW WELL DID DEMOCRACY WORK IN AMERICA TEN YRS AGO
DEM10FUT HOW WELL WILL DEMOCRACY WORK IN AMERICA IN TEN YRS
DEMRGHTS DEMOCRATIC RGHTS SHOULDN'T BE RESTRICTED BY GOVT
GVTRGHTS GOVT SHOULD RESPECT DEMOCRATIC RIGHTS
POLINTER EXPRESSED POLITICAL VIEWS ON INTERNET PAST YEAR
POLNEWS  HOW OFTEN USE MEDIA TO GET POLITICAL NEWS
CRIMLOSE PEOPLE CONVICTED OF SERIOUS CRIMES LOSE CITIZEN RIGHTS
NTCITVTE LONG-TERM RESIDENTS SHOULD VOTE
NOTVOTE  CITIZENS HAVE RIGHT NOT TO VOTE
HLTHALL  HEALTHCARE PROVIDED FOR EVERYONE
LEFTRGHT HOW LEFT OR RIGHT IN POLITICS
CREATION VIEW ABOUT ORIGIN AND DEVELOPMENT OF MAN
SCITESTY HUMAN BEINGS DEVELOPED FROM EARLIER SPECIES OF ANIMAL
BIG5A1   R SEE ONESELF AS SOMEONE WHO IS RESERVED
BIG5B1   R SEE ONESELF AS SOMEONE WHO IS GENERALLY TRUSTED
BIG5C1   R SEE ONESELF AS SOMEONE WHO DOES A THOROUGH JOB
BIG5D1   R SEE ONESELF AS SOMEONE WHO IS RELAXED
BIG5E1   R SEE ONESELF AS SOMEONE WHO HAS AN ACTIVE IMAGINATION
BIG5A2   R SEE ONESELF AS SOMEONE WHO IS SOCIABLE
BIG5B2   R SEE ONESELF AS SOMEONE WHO TENDS TO FIND FAULT WITH OTHERS
BIG5C2   R SEE ONESELF AS SOMEONE WHO TENDS TO BE LAZY
BIG5D2   R SEE ONESELF AS SOMEONE WHO GETS NERVOUS EASILY
BIG5E2   R SEE ONESELF AS SOMEONE WHO HAS FEW ARTISTIC INTERESTS
FORBDCOM FORBID COMMUNIST TO SPEAK
FORBDRAC FORBID RACIST TO SPEAK
FORBDMAR FORBIDS RACIAL INTERMARRIAGE
ALLOWCOM ALLOW COMMUNIST TO SPEAK
ALLOWRAC ALLOW RACIST TO SPEAK
ALLOWMAR ALLOW RACIAL INTERMARRIAGE
CIDEKNEW #PEOPLE R KNOWS MURDERED IN LAST YEAR
CIDEWHO  R'S RELATIONSHIP TO CLOSEST MURDEREE
CIDESEX  SEX OF MURDER VICTIM CLOSEST TO R
CIDEAGE  AGE OF MURDER VICTIM CLOSEST TO R
                                        Page 106    Index
CIDERACE RACE OF MURDER VICTIM CLOSEST TO R
CIDEREG  REGION OF MURDER VICTIM CLOSEST TO R
CIDEWHO2 R'S RELATIONSHIP TO 2ND CLOSEST MURDEREE
CIDESEX2 SEX OF MURDER VICTIM 2ND CLOSEST TO R
CIDEAGE2 AGE OF MURDER VICTIM 2ND CLOSEST TO R
CIDERAC2 RACE OF MURDER VICTIM 2ND CLOSEST TO R
CIDEREG2 REGION OF MURDER VICTIM 2ND CLOSEST TO R
CIDEWHO3 R'S RELATIONSHIP TO 3RD CLOSEST MURDEREE
CIDESEX3 SEX OF MURDER VICTIM 3RD CLOSEST TO R
CIDEAGE3 AGE OF MURDER VICTIM 3RD CLOSEST TO R
CIDERAC3 RACE OF MURDER VICTIM 3RD CLOSEST TO R
CIDEREG3 REGION OF MURDER VICTIM 3RD CLOSEST TO R
AIDSKNOW #PEOPLE R KNOWS INFECTED WITH AIDS
AIDSWHO  R'S RELATIONSHIP TO CLOSEST AIDS VICTIM
AIDSDEAD HAS AIDS VICTIM CLOSEST TO R DIED
AIDSSEX  SEX OF AIDS VICTIM CLOSEST TO R
AIDSAGE  AGE OF AIDS VICTIM CLOSEST TO R
AIDSRACE RACE OF AIDS VICTIM CLOSEST TO R
AIDSREG  REGION OF AIDS VICTIM CLOSEST TO R
AIDSWHO2 R'S RELATION. TO 2ND CLOSEST AIDS VICTIM
AIDSDED2 HAS AIDS VICTIM 2ND CLOSEST TO R DIED
AIDSSEX2 SEX OF AIDS VICTIM 2ND CLOSEST TO R
AIDSAGE2 AGE OF AIDS VICTIM 2ND CLOSEST TO R
AIDSRAC2 RACE OF AIDS VICTIM 2ND CLOSEST TO R
AIDSREG2 REGION OF AIDS VICTIM 2ND CLOSEST TO R
AIDSWHO3 R'S RELAT. TO 3RD CLOSEST AIDS VICTIM TO R
AIDSDED3 HAS AIDS VICTIM 3RD CLOSEST TO R DIED
AIDSSEX3 SEX OF AIDS VICTIM 3RD CLOSEST TO R
AIDSAGE3 AGE OF AIDS VICTIM 3RD CLOSEST TO R
AIDSRAC3 RACE OF AIDS VICTIM 3RD CLOSEST TO R
AIDSREG3 REGION OF AIDS VICTIM 3RD CLOSEST TO R
SUIKNEW  #PEOPLE R KNOWS SUICIDE IN LAST YEAR
SUIWHO   R'S RELATIONSHIP TO CLOSEST SUICIDE
SUISEX   SEX OF SUICIDE VICTIM CLOSEST TO R
SUIAGE   AGE OF SUICIDE VICTIM CLOSEST TO R
SUIRACE  RACE OF SUICIDE VICTIM CLOSEST TO R
SUIREG   REGION OF SUICIDE VICTIM CLOSEST TO R
SUIWHO2  R'S RELATIONSHIP TO 2ND CLOSEST SUICIDE
SUISEX2  SEX OF SUICIDE VICTIM 2ND CLOSEST TO R
SUIAGE2  AGE OF SUICIDE VICTIM 2ND CLOSEST TO R
SUIRAC2  RACE OF SUICIDE VICTIM 2ND CLOSEST TO R
SUIREG2  REGION OF SUICIDE VICTIM 2ND CLOSEST TO R
SUIWHO3  R'S RELATIONSHIP TO 3RD CLOSEST SUICIDE
SUISEX3  SEX OF SUICIDEVICTIM 3RD CLOSEST TO R
SUIAGE3  AGE OF SUICIDE VICTIM 3RD CLOSEST TO R
SUIRAC3  RACE OF SUICIDE VICTIM 3RD CLOSEST TO R
SUIREG3  REGION OF SUICIDE VICTIM 3RD CLOSEST TO R
AIDSSCH  PROHIBIT AIDS-STUDENTS AT PUBLIC SCHOOLS
AIDSADS  HAVE GOVT INFO PGM ON SAFE SEX PRACTICES
AIDSINSR ALLOW INSURER'S TO TEST APPLICANT FOR AIDS
AIDSHLTH HAVE GOVT PAY FOR ALL AIDS HEALTH CARE
AIDSMAR  HAVE TESTING FOR AIDS BEFORE MARRIAGE
                                         Page 107                   Index
AIDSSXED  PUBLIC SCHOOLS TEACH SAFE SEX PRACTICES
AIDSIDS   REQUIRE AIDS VICTIMS TO WEAR ID TAGS
AIDSFARE  PAY AIDS VICTIMS DISABILITY BENEFITS
PARTNERS  HOW MANY SEX PARTNER'S R HAD IN LAST YEAR
MATESEX   WAS 1 OF R'S PARTNER'S SPOUSE OR REGULAR
FRNDSEX   R HAD SEX WITH FRIEND LAST YEAR
ACQNTSEX  R HAD SEX WITH ACQUAINTANCE LAST YEAR
PIKUPSEX  R HAD SEX WITH CASUAL DATE LAST YEAR
PAIDSEX   R HAD SEX FOR PAY LAST YEAR
OTHERSEX  R HAD SEX WITH SOME OTHER LAST YEAR
SEXSEX    SEX OF SEX PARTNER'S IN LAST YEAR
SEXFREQ   FREQUENCY OF SEX DURING LAST YEAR
SEXFREQ1  HAD SEX IN LAST MONTH
SEXFREQ2  NUMBER OF TIMES, SEX LAST MONTH
NUMWOMEN  NUMBER OF FEMALE SEX PARTNER'S SINCE 18
NUMMEN    NUMBER OF MALE SEX PARTNER'S SINCE 18
PARTOPEN  NUMBER OF SEX PARTNER'S LAST YEAR
PARTOPN5  NUMBER OF SEX PARTNER'S LAST 5 YEARS
PARTNRS5  HOW MANY SEX PARTNER'S R HAD IN LAST 5 YEARS
SEXSEX5   SEX OF SEX PARTNER'S LAST FIVE YEARS
EVPAIDSX  EVER HAVE SEX PAID FOR OR BEING PAID SINCE 18
EVSTRAY   HAVE SEX OTHER THAN SPOUSE WHILE MARRIED
CONDOM    USED CONDOM LAST TIME
RELATSEX  RELATION TO LAST SEX PARTNER
EVIDU     R EVER INJECT DRUGS
IDU30     R INJECT DRUGS IN PAST 30 DAYS
EVCRACK   R EVER USE CRACK COCAINE
CRACK30   R LAST USE CRACK COCAINE
HIVTEST   HAVE YOU EVER BEEN TESTED FOR HIV
HIVTEST1  IN WHAT MONTH AND YEAR WAS YOUR LAST HIV TEST
HIVTEST2  WHERE DID YOU HAVE YOUR LAST HIV TEST
AIDSLOOK  A HEALTH-LOOK PERSON MAY HAVE AIDS
AIDSCNDM  CONDOM CAN REDUCE AIDS
HIVVAC    THERE IS A VACCINE THAT CAN PREVENT HIV
HIVKISS   KISS CAN SPREAD HIV
SEXORNT   SEXUAL ORIENTATION
SEXBIRTH  R'S SEX ASSIGNED AT BIRTH
SEXNOW    R'S SEX NOW
SIBORDER  BIRTH ORDER
GENETEST  KNOW ABOUT GENETIC TESTING
GENETST1  KNOW ABOUT GENETIC TESTING
GENEGOOD  GENETIC TESTING GOOD OR HARM
GENEGOO1  GENETIC TESTING GOOD OR HARM
GENEGOO2  GENETIC TESTING GOOD OR HARM
GENESELF  WOULD GENETICALLY TEST FETUS
GENEABRT  ABORT DEFECTIVE FETUS
MALEORNT  INTERVIEWER CODED MALE SEXUAL ORIENTATION
GENESELF2 R WOULD WANT GENETIC TEST DONE ON FETUS
GENEABRT2 R WOULD WANT TO ABORT FETUS IF THERE WERE GENETIC DEFECTS
GENEDEF1  MEANING OF SERIOUS GENETIC DEFECT
GENEDEF2  MEANING OF SERIOUS GENETIC DEFECT
GENEDEF3  MEANING OF SERIOUS GENETIC DEFECT
                                        Page 108       Index
PARHARDR BEING PARENT NOW HARDER
PARWORSE PARENTS DOING WORSE THAN BEFORE
PARRGHT  PARENTS UNSURE WHAT IS RIGHT
PARWHERE PARENTS DON'T KNOW WHERE KIDS ARE
PARFIN   HARD FOR PARENTS TO MAKE ENDS MEET
PARGOVT  GOVT TOO INVOLVED IN FAMILY LIFE
PARTIME  PARENTS DON'T SPEND TIME WITH KIDS
PARWORK  IF PARENTS WORK, KIDS GET IN TROUBLE
PARTAXES TAXES REDUCE CHILDBEARING
ROLEMA   ROLE OF MOTHERS WITH KIDS
ROLEPA   ROLE OF FATHER'S WITH KIDS
ROLEGP   ROLE OF GRANDPARENTS WITH KIDS
ROLECCP  ROLE OF CHILDCARE PROVDRS WITH KIDS
ROLETCHR ROLE OF TEACHERS WITH KIDS
ROLECLRG ROLE OF CLERGY WITH KIDS
CHLDEDUC EDUCATION IMPROVING?
CHLDLOVE LOVE IMPROVING?
CHLDSAFE NEIGHBORHOOD SAFETY IMPROVING?
CHLDMORL MORAL-RELIGIOUS TRAINING IMPROVING?
CHLDSUP  SUPERVISION IMPROVING?
CHLDHOME HOUSING IMPROVING?
CHLDHLTH HEALTH CARE IMPROVING?
CHLDSKLS ACQUIRING JOB SKILLS IMPROVING?
CHLDTIME TIME WITH KIDS IMPROVING?
INFFILMS INFLUENCE OF MOVIES
INFPUBTV INFLUENCE OF CHILDREN'S PROGRAMS ON PUBLIC TV
INFNETTV INFLUENCE OF PROGRAMS ON NETWORK TV
INFADSTV INFLUENCE OF TV ADS
INFMUSIC INFLUENCE OF ROCK & ROLL
SPPREGNT SPENDING FOR PRENATAL CARE
SPHLTHKD SPENDING FOR HEALTH CARE
SPHEADST SPENDING FOR HEAD START
SPPOORKD SPENDING FOR CHILDCARE FOR POOR
SPWRKPAR SPENDING FOR CHILDCARE FOR WRKERS
SPHOMEKD SPENDING FOR HOUSING
SPDSABKD SPENDING FOR DISABLED KIDS
SPDRUGS  SPENDING FOR DRUG TREATMENT
SPFOODKD SPENDING FOR FOOD, ETC.
SPPILL   SPENDING FOR BIRTH CONTROL
PROB1    FIRST PROBLEM MENTIONED
PROB2    SECOND PROBLEM MENTIONED
PROB3    THIRD PROBLEM MENTIONED
PROB4    FOURTH PROBLEM MENTIONED
HLTH1    ILL ENOUGH TO GO TO A DOCTOR
HLTH2    COUNSELING FOR MENTAL PROBLEMS
HLTH3    INFERTILITY, UNABLE TO HAVE A BABY
HLTH4    DRINKING PROBLEM
HLTH5    ILLEGAL DRUGS (MARIJUANA, COCAINE)
HLTH6    (HUSBAND, WIFE)PARTNER IN HOSPITAL
HLTH7    A CHILD IN HOSPITAL
HLTH8    CHILD ON DRUGS, DRINKING PROBLEM
HLTH9    A DEATH OF A CLOSE FRIEND
                                      Page 109                   Index
HLTH10  RESPONDENT IN HOSPITAL OR SANATORIUM
HLTH11  RESPONDENT UNABLE TO WORK FOR ONE MONTH OR MORE
HLTH12  A DEATH OF SPOUSE
HLTH13  A DEATH OF CHILD
HLTH14  A DEATH OF PARENTS
WORK1   UNEMPLOYED AND LOOKING FOR WORK A MONTH +
WORK2   BEING DEMOTED OR MOVE TO WORSE POSITION
WORK3   A CUT IN PAY OR REDUCED HOURS
WORK4   BEING PASSED OVER FOR PROMOTION
WORK5   HAVING TROUBLE WITH ONE'S BOSS
WORK6   OWN BUSINESS LOSING MONEY OR FAILING
WORK7   A HUSBAND, WIFE, PARTNER BEING FIRED
WORK8   A HUSBAND, WIFE, PARTNER CUT IN PAY
WORK9   ONES' SPOUSE BEING UNEMPLOYED
WORK10  DURING PAST 12 MO, R WAS UNEMPLOYED AND LOOKING FOR WORK
FINAN1  GOING BANKRUPT
FINAN2  HAVING A CAR ETC. REPOSSESSED
FINAN3  PAWNING VALUABLES TO MAKE ENDS MEET
FINAN4  BEING PRESSURED TO PAY BILLS
FINAN5  MAJOR WORSENING FINANCIAL CONDITION
HRDSHP1 FALL BEHIND IN PAYING RENT, MORTGAGE
HRDSHP2 EVICTION FROM ONE'S APARTMENT, HOUSE
HRDSHP3 HAVING THE UTILITIES SHUT-OFF
HRDSHP4 BEING UNABLE TO PURCHASE NEEDED FOOD
HRDSHP5 UNABLE TO AFFORD NEEDED MEDICAL CARE
HRDSHP6 LACKING HEALTH INSURANCE COVERAGE
HRDSHP7 HOMELESS
FAMPER1 HAVING SERIOUS TROUBLE WITH SPOUSE
FAMPER2 SEPARATING FROM SPOUSE OR PARTNER
FAMPER3 BREAKING UP WITH FIANCÉ(E)
FAMPER4 HAVING SERIOUS TROUBLE WITH A CHILD
FAMPER5 HAVING SERIOUS TROUBLE WITH FRIEND
FAMPER6 DIVORCED OR SEPARATED
LAW1    A ROBBERY
LAW2    A PERSONAL ASSAULT
LAW3    YOUR HOME BURGLARIZED
LAW4    ACCUSED OF CRIME
LAW5    ARRESTED
LAW6    SUED IN CIVIL CASE
LAW7    YOUR CHILD ARRESTED
LIVE1   YOUR HOME DESTROYED IN DISASTER
LIVE2   YOUR HOME IN POOR CONDITION
LIVE3   MAJOR HOME REPAIRS
LIVE4   SERIOUS PROBLEM WITH YOUR LANDLORD
OTH1    BEING DISCRIMINATED AGAINST
OTH2    UNABLE TO GET TO SCHOOL
OTH3    CHILD HAVE TROUBLE IN SCHOOL
OTH4    NEED BUT UNABLE TO USE PUBLIC TRANSPORT.
OTH5    DO NOT HAVE A CAR
EXTRA1  OTHER PROBLEMS
EXTRA2  OTHER PROBLEMS
POVLINE R'S HH POVERTY STATUS
                                       Page 110                 Index
INCDEF   DISTANCE BELOW POVERTY LINE
REALINC  FAMILY INCOME IN CONSTANT $
REALRINC R'S INCOME IN CONSTANT $
CONINC   FAMILY INCOME IN CONSTANT DOLLARS
CONRINC  RESPONDENT INCOME IN CONSTANT DOLLARS
MINFOUR  IMPUTED POVERTY LINE FOR FAMILY OF FOUR
MINFOOD  IMPUTED WKLY FOOD SPENDING FOR POV LINE FAM OF 4
MINTHREE IMPUTED POVERTY LINE FOR FAMILY OF THREE
SECTECH  SHOULD GOVT MAINTAIN SECRECY OVER TECHNOLOGY
SECDOCS  DOES GOVT CLASSIFY TOO MANY DOCUMENTS AS SECRETS
RPTCOWRK REPORT COWORKERS THREATENING SECRECY OF WORK
ASKFINAN GOVT INVESTIGATE WORKERS FINANCES FOR SECURITY
ASKCRIME GOVT INVESTIGATE WORKERS CRIME RECORDS
ASKDRUGS GOVT INVESTIGATE WORKERS ILLEGAL DRUG USE
ASKMENTL GOVT INVESTIGATE WORKERS MENTAL HEALTH
ASKFORGN GOVT INVESTIGATE WORKERS FOREIGN FAMILY
ASKDRINK GOVT INVESTIGATE WORKERS ALCOHOL USE
ASKSEXOR GOVT INVESTIGATE WORKERS SEXUAL ORIENTATION
ASKFRBIZ GOVT INVESTIGATE FOREIGN BUSINESS CONTACTS
ASKFRTRV GOVT INVESTIGATE FOREIGN TRAVEL
ASKCOMP  GOVT INVESTIGATE USE OF COMPUTERS
SECPRVCY GOVT FAVOR SECRECY OVER WORKERS PRIVACY?
SECDIPLO GOVERNMENT MAINTAIN SECRECY ON DIPLOMATIC INITIATIVES
SECMILOP GOVERNMENT MAINTAIN SECRECY ON MILITARY OPERATIONS
SECTERR  GOVERNMENT MAINTAIN SECRECY ON DOMESTIC TERRORISM
SECBUDGT GOVERNMENT MAINTAIN SECRECY ON THE INTELLIGENCE BUDGET
CHKFINAN GOVERNMENT SHOULD VERIFY FINANCIAL ASSETS
CHKSPFIN GOVERNMENT SHOULD VERIFY SPOUSE'S FINANCIAL ASSETS
CHKTAXES GOVERNMENT SHOULD VERIFY TAX RECORDS
KNOMENTL GOV SHOULD HAVE THE RIGHT TO KNOW
TAKEARMS PUNISHMENT FOR STEALING AND SELLING WEAPONS
LEAKINFO PUNISHMENT FOR OFFICIAL LEAKING INFORMATION
SPYENEMY PUNISHMENT FOR SELLING SECRETS TO HOSTILE FOREIGN GOV
SPYFREND PUNISHMENT FOR SELLING SECRETS TO FRIEND FOREIGN GOV
TAKETRCK PUNISHMENT FOR STEALING AND SELLING TRUCK PARTS
PUNARMS  PUNISHMENT STEALING AND SELLING ARMS
PUNLEAK  PUNISHMENT LEAKING SENSITIVE INFORMATION
PUNENMY  PUNISHMENT SELLING INFO TO FOREIGN ENEMIES
PUNFRND  PUNISHMENT SELLING INFO TO FRIENDLY COUNTRIES
PUNTRCK  PUNISHMENT STEALING GOVT TRUCK PARTS
COMSTEAL PUNISHMENT STEALING NATIONAL SECURITY COMPUTER
COMDATA  PUNISHMENT DAMAGING NATIONAL SECURITY COMPUTER
COMSYS   PUNISHMENT FOR DAMAGING A COMPUTER SYSTEM
COMSNOOP PUNISHMENT FOR SNOOPING IN A COMPUTER SYSTEM
COMEMAIL PUNISHMENT EMAILING DOCUMENTS UNAUTHORIZED PER
COMPORN  PUNISHMENT FOR DOWNLOADING PORN AT OFFICE
LIETEST  PEOPLE WITH SECRET SHOULD BE SUBJECT TO LIE TESTS
TESTDRUG PEOPLE WITH SECRET SHOULD BE SUBJECT TO DRUG TESTS
BUGGING  PEOPLE WITH SECRET SHOULD BE SUBJECT TO WIRETAPPING
FINANQS  PEOPLE WITH SECRET SHOULD BE SUBJECT TO QUES. OF FINAN
CHKONJOB PEOPLE WITH SECRET SHOULD BE SUBJECT TO MONITORING
CHKOTHER PEOPLE WITH SECRET SHOULD BE SUBJECT TO MONITORING OF
                                        Page 111            Index
COMPFIN  GOVT CHECK PERSONAL FINANCIAL RECORDS
CHKTRAVL GOVT CHECK INTERNATIONAL TRAVEL RECORDS
EMAILWRK GOVT AUDIT EMAIL AND INTERNET AT WORK
EMAILHME GOVT AUDIT EMAIL AND INTERNET AT HOME
TAPWRK   GOVT WIRE-TAP WORK PHONE LINE
TAPHME   GOVT WIRE-TAP HOME PHONE LINE
SRCHWRK  GOVT SEARCH BRIEFCASES AND DESKS AT WORK
CAMWRK   GOVT CAMERA SURVEILLANCE AT WORK
USSPY    U.S. SPIES FOREIGN GOVTS MORE THREAT 10 YRS AGO
FORSPY   FOREIGN SPIES MORE THREAT 10 YRS AGO
USTERROR TERRORISM BY U.S. CITIZENS MORE THREAT 10 YRS
FRTERROR TERRORISM BY FOREIGNERS MORE THREAT 10 YRS AGO
FORSTEAL FOREIGNERS STEALING U.S. TECH MORE THREAT 10 Y
NUCLRWAR NUCLEAR WAR MORE THREAT 10 YRS AGO
ETHNIC   COUNTRY OF FAMILY ORIGIN
ETH1     1ST MENTIONED COUNTRY OF ORIGIN
ETH2     2ND MENTIONED COUNTRY OF ORIGIN
ETH3     3RD MENTIONED COUNTRY OF ORIGIN
ETHNUM   TYPE OF RESPONSE ABOUT ETHNICITY:R
SPETHNIC COUNTRY OF SPOUSE'S FAMILY ORIGIN
SPETH1   1ST MENTIONED COUNTRY OF SPOUSE'S ORIGIN
SPETH2   2ND MENTIONED COUNTRY OF SPOUSE'S ORIGIN
SPETH3   3RD MENTIONED COUNTRY OF SPOUSE'S ORIGIN
SPETHNUM TYPE OF RESPONSE ABOUT ETHNICITY:SP
RACESEE  OBSERVED RACE
RACEDBTF CERTAINTY OF OBSERVED RACE
RACESELF R'S OWN RACIAL ID
HISPANIC HISPANIC SPECIFIED
RACECEN1 WHAT IS R'S RACE 1ST MENTION
RACECEN2 WHAT IS R'S RACE 2ND MENTION
RACECEN3 WHAT IS R'S RACE 3RD MENTION
DIFRACE1 WHY OBSERVATION DISAGREES SELF ID
DIFRACE2 WHY OBSERVATION DISAGREES SELF ID
DIFRACE3 WHY OBSERVATION DISAGREES SELF ID
RACETHWH POINTS ASSIGNED TO WHITE
RACETHHI POINTS ASSIGNED TO HISPANIC/LATINO
RACETHBL POINTS ASSIGNED TO BLACK/AFRICAN AMERICAN
RACETHAS POINTS ASSIGNED TO ASIAN AMERICAN
RACETHNA POINTS ASSIGNED TO NATIVE AMERICAN/AMERICAN INDIAN
RACETHOT POINTS ASSIGNED TO OTHER
RACETHMN SPECIFY OTHER IN RACETHOT
USCITZN  IS R US CITIZEN
FUCITZN  IS R PLANNING/APPLING FOR US CITIZENSHIP OR NOT
YEARSUSA HOW MANY YEARS R HAS LIVED IN THE US
MNTHSUSA HOW MANY MONTHS R HAS LIVED IN THE US
VETYEARS YEARS IN ARMED FORCES
VETKIND  BRANCH OF SERVICE
WORKDY   DAYS R NORMALLY WORKS
WORKHR   HOURS R USUALLY WORKS
SPDAYS   DAYS SPOUSE NORMALLY WORKS
SPHOUR   HOURS SPOUSE USUALLY WORKS
DWELLING TYPE OF STRUCTURE
                                        Page 112         Index
DWELNGH   DWELLING COMPARED TO OTHERS IN NBRHD
DWELCITY  DWELLING COMPARED TO OTHERS IN CITY
DWELOWN   DOES R OWN OR RENT HOME?
DWELOWN16 DID R'S FAMILY RENT OR OWN WHILE R GROWING UP
WORDA     WORD A
WORDB     WORD B
WORDC     WORD C
WORDD     WORD D
WORDE     WORD E
WORDF     WORD F
WORDG     WORD G
WORDH     WORD H
WORDI     WORD I
WORDJ     WORD J
WORDSUM   NUMBER WORDS CORRECT IN VOCABULARY TEST
GODOC     LAST WEEK WENT TO SEE A DOCTOR?
